date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:27	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Mar%202025%2017:19:16%20GMT	https://app.dayzboosterz.com/robots.txt		(from )
12:19:27	67247/67247	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Mar%202025%2017:19:16%20GMT	https://app.dayzboosterz.com/	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/index.html	(from )
12:19:28	29703/29703	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Mar%202025%2017:19:17%20GMT	https://app.dayzboosterz.com/apps/tools/terms	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/apps/tools/terms.html	(from https://app.dayzboosterz.com/)
12:19:29	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%220689818546adb1:0%22	https://app.dayzboosterz.com/assets/img/favicon/favicon.ico	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/assets/img/favicon/favicon.ico	(from https://app.dayzboosterz.com/)
12:19:29	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Mar%202025%2017:19:17%20GMT	https://fonts.gstatic.com/	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/fonts.gstatic.com/index.html	(from https://app.dayzboosterz.com/)
12:19:29	2100/2100	---MC-	200	added ('OK')	text/css	date:Sat,%2008%20Mar%202025%2017:19:17%20GMT	https://fonts.googleapis.com/css2?family=Public+Sans:ital,wght@0,300;0,400;0,500;0,600;0,700;1,300;1,400;1,500;1,600;1,700&ampdisplay=swap	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/fonts.googleapis.com/css2ad73.css	(from https://app.dayzboosterz.com/)
12:19:29	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Mar%202025%2017:19:17%20GMT	https://fonts.googleapis.com/	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/fonts.googleapis.com/index.html	(from https://app.dayzboosterz.com/)
12:19:31	275127/275127	---MCZ	200	added ('OK')	text/css	etag:%220ef2b1c546adb1:0%22	https://app.dayzboosterz.com/assets/vendor/fonts/tabler-icons.css	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/assets/vendor/fonts/tabler-icons.css	(from https://app.dayzboosterz.com/)
12:19:31	913745/913745	---MCZ	200	added ('OK')	text/css	etag:%220c2fa1a546adb1:0%22	https://app.dayzboosterz.com/assets/vendor/css/rtl/core.css	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/assets/vendor/css/rtl/core.css	(from https://app.dayzboosterz.com/)
12:19:32	62706/62706	---M-Z	200	added ('OK')	text/css	etag:%220c2fa1a546adb1:0%22	https://app.dayzboosterz.com/assets/vendor/css/rtl/theme-default.css	C:/Users/net29/OneDrive/Desktop/Viper%20and%20mines%20server%20idea/UpatedDayzBoosterz/app.dayzboosterz.com/assets/vendor/css/rtl/theme-default.css	(from https://app.dayzboosterz.com/)
